Timestamp,Şirket lokasyon,Çalışma türü,Çalışma şekli,Cinsiyet,Toplam kaç yıllık iş deneyimin var?,Hangi seviyedesin?,Hangi programlama dillerini kullanıyorsun,Ne yapıyorsun?,Frontend yazıyorsan hangilerini kullanıyorsun,Hangi tool'ları kullanıyorsun,Aylık ortalama net kaç bin TL alıyorsun?
8/20/2025 12:38:33,Türkiye,Yarı zamanlı,Remote,Erkek,2,Junior,"HTML/CSS, JavaScript, TypeScript, C#, C++, SQL",Fullstack,"React, Vanilla","FastApi, Wordpress",0 - 10
8/20/2025 12:39:12,Yurtdışı TR hub,Kendi işim,Remote,Erkek,16 - 20,Partner,Hiçbiri,Product Owner,Kullanmıyorum,Wordpress,300 +
8/20/2025 12:39:21,Türkiye,Tam zamanlı,Remote,Erkek,5,Senior,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Fullstack,"React, Angular, Vue, Vanilla",Wordpress,111 - 120
8/20/2025 12:39:35,Türkiye,Tam zamanlı,Remote,Erkek,6,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Kullanmıyorum",Kullanmıyorum,101 - 110
8/20/2025 12:39:42,Türkiye,Tam zamanlı,Remote,Erkek,8,Senior,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Fullstack,React,Redux,71 - 80
8/20/2025 12:39:49,Türkiye,Tam zamanlı,Remote,Kadın,4,Junior,"JavaScript, TypeScript, Dart",Flutter,React,"Redux, Firebase",31 - 40
8/20/2025 12:39:51,Türkiye,Tam zamanlı,Remote,Erkek,4,Team Lead,"Kotlin, Swift, Dart",Flutter,Kullanmıyorum,Kullanmıyorum,91 - 100
8/20/2025 12:39:52,Türkiye,Tam zamanlı,Hybrid,Erkek,1,Junior,"JavaScript, TypeScript",Fullstack,React,Redux,41 - 50
8/20/2025 12:39:54,Türkiye,Tam zamanlı,Hybrid,Erkek,5,Mid,"JavaScript, C#",Backend,Kullanmıyorum,Kullanmıyorum,81 - 90
8/20/2025 12:40:04,Türkiye,Tam zamanlı,Remote,Erkek,3,Mid,Bash,DevOps,Kullanmıyorum,Kullanmıyorum,71 - 80
8/20/2025 12:40:12,Türkiye,Freelance,Remote,Erkek,1,Junior,"HTML/CSS, JavaScript",Fullstack,React,Strapi,51 - 60
8/20/2025 12:40:13,Türkiye,Yarı zamanlı,Remote,Erkek,1,Junior,"HTML/CSS, JavaScript, C#",Fullstack,React,Redux,11 - 20
8/20/2025 12:40:18,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript, C#",Fullstack,React,"Redux, Firebase",71 - 80
8/20/2025 12:40:43,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript, Java, C#, C, C++",Backend,React,Kullanmıyorum,101 - 110
8/20/2025 12:40:51,Türkiye,Freelance,Remote,Erkek,0,Junior,"HTML/CSS, JavaScript, TypeScript",React Native,React,FastApi,0 - 10
8/20/2025 12:41:07,Türkiye,Tam zamanlı,Remote,Erkek,4,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Angular, Vue, Vanilla",Kullanmıyorum,111 - 120
8/20/2025 12:41:11,Türkiye,Tam zamanlı,Hybrid,Kadın,4,Mid,Bash,DevOps,Kullanmıyorum,Kullanmıyorum,91 - 100
8/20/2025 12:41:11,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Redux,61 - 70
8/20/2025 12:41:14,Türkiye,Yarı zamanlı,Hybrid,Erkek,1,Junior,"HTML/CSS, JavaScript, TypeScript, Java, Python, C, SQL",Fullstack,React,"FastApi, Redux, Zustand, Supabase, Firebase",31 - 40
8/20/2025 12:41:18,Türkiye,Tam zamanlı,Office,Kadın,0,Junior,C#,Backend,"React, Kullanmıyorum",Supabase,21 - 30
8/20/2025 12:41:33,Türkiye,Tam zamanlı,Remote,Erkek,5,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Redux,101 - 110
8/20/2025 12:41:56,Türkiye,Tam zamanlı,Hybrid,Erkek,2,Mid,Kotlin,Android,Kullanmıyorum,Kullanmıyorum,41 - 50
8/20/2025 12:42:05,Türkiye,Tam zamanlı,Remote,Erkek,6,Senior,"JavaScript, TypeScript, Java, Swift",React Native,React,"Redux, Firebase",111 - 120
8/20/2025 12:42:10,Türkiye,Tam zamanlı,Remote,Erkek,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Kullanmıyorum,91 - 100
8/20/2025 12:42:30,Türkiye,Tam zamanlı,Hybrid,Erkek,5,Mid,Java,Fullstack,React,Kullanmıyorum,71 - 80
8/20/2025 12:42:36,Türkiye,Tam zamanlı,Remote,Erkek,5,Senior,Kotlin,Android,Kullanmıyorum,Firebase,111 - 120
8/20/2025 12:42:44,Türkiye,Tam zamanlı,Office,Erkek,2,Junior,"HTML/CSS, JavaScript, TypeScript, C#, SQL",Fullstack,React,"Redux, Zustand, Supabase, Firebase",21 - 30
8/20/2025 12:42:55,Türkiye,Tam zamanlı,Remote,Erkek,7,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Angular, Vue","Redux, Firebase",151 - 160
8/20/2025 12:43:03,Türkiye,Tam zamanlı,Office,Kadın,1,Junior,"HTML/CSS, JavaScript, Python, SQL",Fullstack,React,Kullanmıyorum,41 - 50
8/20/2025 12:43:12,Türkiye,Kendi işim,Remote,Erkek,11 - 15,Partner,"Kotlin, Swift, Python",ML Engineer,Kullanmıyorum,"FastApi, Firebase",300 +
8/20/2025 12:43:21,Türkiye,Tam zamanlı,Remote,Erkek,9,Team Lead,"Go, C#",Backend,Kullanmıyorum,Kullanmıyorum,191 - 200
8/20/2025 12:43:50,Türkiye,Tam zamanlı,Hybrid,Erkek,8,Senior,"TypeScript, Java",Fullstack,React,Kullanmıyorum,111 - 120
8/20/2025 12:44:07,Türkiye,Tam zamanlı,Remote,Erkek,9,Architect,"HTML/CSS, JavaScript, Go, C#, Python, SQL, Bash",Backend,Kullanmıyorum,"Wordpress, Firebase",141 - 150
8/20/2025 12:44:29,Türkiye,Tam zamanlı,Office,Erkek,3,Mid,"Java, Kotlin",Android,Kullanmıyorum,Firebase,31 - 40
8/20/2025 12:44:42,Türkiye,Tam zamanlı,Office,Erkek,11 - 15,Director Level Manager,Hiçbiri,IT Specialist,Kullanmıyorum,Kullanmıyorum,121 - 130
8/20/2025 12:45:37,Türkiye,Tam zamanlı,Remote,Erkek,2,Mid,"HTML/CSS, JavaScript, PHP",Backend,Kullanmıyorum,Kullanmıyorum,31 - 40
8/20/2025 12:45:37,Türkiye,Tam zamanlı,Remote,Erkek,3,Mid,"HTML/CSS, JavaScript",Frontend,"React, Vanilla",Zustand,71 - 80
8/20/2025 12:45:46,Türkiye,Tam zamanlı,Hybrid,Kadın,3,Mid,"HTML/CSS, JavaScript",Frontend,React,"Wordpress, Redux, Firebase",61 - 70
8/20/2025 12:45:52,Türkiye,Tam zamanlı,Hybrid,Erkek,2,Junior,"JavaScript, C#",Fullstack,React,Kullanmıyorum,71 - 80
8/20/2025 12:45:57,Türkiye,Tam zamanlı,Remote,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript",Fullstack,React,"FastApi, Redux, Zustand, Supabase, Firebase",51 - 60
8/20/2025 12:46:28,Yurtdışı TR hub,Tam zamanlı,Remote,Erkek,11 - 15,Team Lead,Hiçbiri,Product Designer,Kullanmıyorum,Kullanmıyorum,91 - 100
8/20/2025 12:46:35,Türkiye,Tam zamanlı,Office,Erkek,0,Junior,"JavaScript, Go, Python, Bash",DevOps,Vanilla,"FastApi, Redux, Firebase",21 - 30
8/20/2025 12:46:36,Türkiye,Tam zamanlı,Remote,Erkek,0,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,"FastApi, Wordpress, Zustand",21 - 30
8/20/2025 12:46:38,Türkiye,Kendi işim,Remote,Erkek,11 - 15,Architect,"HTML/CSS, JavaScript, TypeScript, Java, Go, Kotlin, SQL, Cobol",Fullstack,React,"Redux, Firebase",201 - 210
8/20/2025 12:46:48,Türkiye,Tam zamanlı,Office,Erkek,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Vanilla","FastApi, Redux, Zustand, Supabase",41 - 50
8/20/2025 12:47:05,Türkiye,Tam zamanlı,Hybrid,Erkek,11 - 15,Staff Engineer,"HTML/CSS, JavaScript, TypeScript, Go, PHP, Python, SQL, Bash",Backend,React,Strapi,221 - 230
8/20/2025 12:47:48,Türkiye,Tam zamanlı,Remote,Erkek,0,Junior,"HTML/CSS, JavaScript, PHP",Fullstack,Kullanmıyorum,Kullanmıyorum,21 - 30
8/20/2025 12:47:55,Yurtdışı TR hub,Tam zamanlı,Remote,Erkek,3,Mid,"JavaScript, TypeScript",React Native,React,Redux,51 - 60
8/20/2025 12:47:59,Türkiye,Tam zamanlı,Hybrid,Erkek,5,Mid,"JavaScript, TypeScript, Go, Python",Fullstack,React,"Redux, Zustand",71 - 80
8/20/2025 12:48:32,Türkiye,Tam zamanlı,Remote,Erkek,2,Junior,"JavaScript, TypeScript, Python",Backend,Kullanmıyorum,"FastApi, Jotai, Firebase",141 - 150
8/20/2025 12:48:37,Türkiye,Tam zamanlı,Remote,Erkek,2,Junior,"Java, SQL",Backend,Kullanmıyorum,Kullanmıyorum,51 - 60
8/20/2025 12:48:39,Türkiye,Tam zamanlı,Hybrid,Erkek,7,Senior,Java,Test Automation Engineer,Kullanmıyorum,Kullanmıyorum,81 - 90
8/20/2025 12:48:54,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,"HTML/CSS, JavaScript, C#, SQL",Backend,Kullanmıyorum,Kullanmıyorum,41 - 50
8/20/2025 12:48:58,Türkiye,Tam zamanlı,Hybrid,Erkek,10,Senior,"HTML/CSS, JavaScript, TypeScript, C#",Fullstack,"React, Vanilla",Kullanmıyorum,141 - 150
8/20/2025 12:49:02,Türkiye,Tam zamanlı,Hybrid,Erkek,5,Mid,"JavaScript, TypeScript",Backend,Kullanmıyorum,Firebase,101 - 110
8/20/2025 12:49:05,Türkiye,Freelance,Remote,Erkek,5,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Zustand,71 - 80
8/20/2025 12:49:43,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Mid,"JavaScript, TypeScript, Kotlin, Swift, Dart",Flutter,React,Firebase,101 - 110
8/20/2025 12:49:48,Türkiye,Tam zamanlı,Office,Erkek,10,Senior,"HTML/CSS, JavaScript, PHP",Fullstack,Kullanmıyorum,Wordpress,51 - 60
8/20/2025 12:49:53,Türkiye,Tam zamanlı,Remote,Erkek,1,Junior,Hiçbiri,IT Specialist,Kullanmıyorum,Kullanmıyorum,31 - 40
8/20/2025 12:49:53,Türkiye,Tam zamanlı,Office,Erkek,1,Junior,"HTML/CSS, JavaScript, PHP",Fullstack,React,Wordpress,31 - 40
8/20/2025 12:50:01,Türkiye,Tam zamanlı,Remote,Erkek,0,Junior,Hiçbiri,Fullstack,Kullanmıyorum,Wordpress,0 - 10
8/20/2025 12:50:04,Türkiye,Tam zamanlı,Hybrid,Kadın,5,Senior,"C#, SQL",Backend,Kullanmıyorum,Kullanmıyorum,131 - 140
8/20/2025 12:50:08,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Redux,91 - 100
8/20/2025 12:50:11,Türkiye,Tam zamanlı,Remote,Erkek,4,Mid,"HTML/CSS, JavaScript, PHP",Fullstack,Vue,Kullanmıyorum,51 - 60
8/20/2025 12:50:17,Türkiye,Tam zamanlı,Hybrid,Erkek,7,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Angular",Redux,131 - 140
8/20/2025 12:50:17,Türkiye,Tam zamanlı,Hybrid,Erkek,0,Junior,"HTML/CSS, JavaScript, Go, Python, Objective C, SQL",Fullstack,Kullanmıyorum,Firebase,41 - 50
8/20/2025 12:50:41,Türkiye,Tam zamanlı,Remote,Erkek,6,Senior,"HTML/CSS, JavaScript",Frontend,"Vue, Vanilla",Kullanmıyorum,131 - 140
8/20/2025 12:50:46,Türkiye,Tam zamanlı,Hybrid,Erkek,6,Senior,Python,Data Scientist,Kullanmıyorum,"FastApi, Kullanmıyorum",101 - 110
8/20/2025 12:51:00,Türkiye,Tam zamanlı,Remote,Erkek,4,Mid,"Python, SQL",Data Scientist,Kullanmıyorum,FastApi,101 - 110
8/20/2025 12:51:07,Türkiye,Tam zamanlı,Hybrid,Kadın,2,Junior,"JavaScript, TypeScript",React Native,React,"Redux, Zustand, Firebase",41 - 50
8/20/2025 12:51:11,Türkiye,Tam zamanlı,Hybrid,Erkek,1,Junior,"Python, SQL",Data Scientist,Kullanmıyorum,Kullanmıyorum,51 - 60
8/20/2025 12:51:26,Türkiye,Tam zamanlı,Remote,Erkek,8,Senior,"C#, Python",DevOps,Kullanmıyorum,"FastApi, Firebase",141 - 150
8/20/2025 12:51:29,Türkiye,Tam zamanlı,Hybrid,Erkek,6,Mid,Java,Backend,Kullanmıyorum,Kullanmıyorum,171 - 180
8/20/2025 12:51:34,Türkiye,Tam zamanlı,Hybrid,Erkek,10,Mid,"HTML/CSS, Hiçbiri",UI/UX Designer,Kullanmıyorum,Kullanmıyorum,61 - 70
8/20/2025 12:51:43,Türkiye,Tam zamanlı,Office,Erkek,2,Mid,"HTML/CSS, JavaScript, TypeScript, C#, Python, SQL",Fullstack,React,Zustand,31 - 40
8/20/2025 12:51:44,Türkiye,Tam zamanlı,Office,Erkek,1,Junior,Java,Backend,Kullanmıyorum,Kullanmıyorum,71 - 80
8/20/2025 12:52:00,Türkiye,Tam zamanlı,Office,Erkek,4,Junior,Dart,Flutter,Kullanmıyorum,Firebase,41 - 50
8/20/2025 12:52:05,Türkiye,Yarı zamanlı,Hybrid,Erkek,1,Junior,"Java, Python, SQL, Bash",Backend,Kullanmıyorum,FastApi,41 - 50
8/20/2025 12:52:17,Türkiye,Tam zamanlı,Remote,Erkek,5,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Redux,71 - 80
8/20/2025 12:52:20,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,"SQL, Visual Basic",Business Analyst,Kullanmıyorum,Kullanmıyorum,51 - 60
8/20/2025 12:52:26,Türkiye,Yarı zamanlı,Hybrid,Kadın,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Vue","FastApi, Redux",21 - 30
8/20/2025 12:52:27,Türkiye,Tam zamanlı,Hybrid,Erkek,5,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,React,"Redux, Zustand, Firebase",81 - 90
8/20/2025 12:52:28,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,Angular,Redux,71 - 80
8/20/2025 12:52:38,Türkiye,Tam zamanlı,Remote,Kadın,4,Mid,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Fullstack,React,Firebase,31 - 40
8/20/2025 12:52:39,Avrupa,Freelance,Remote,Erkek,9,Team Lead,"HTML/CSS, JavaScript, TypeScript, Python",Fullstack,"React, Vanilla","Wordpress, Redux, Zustand, Jotai, Supabase",241 - 250
8/20/2025 12:52:45,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,"JavaScript, Java, SQL",Fullstack,React,Redux,81 - 90
8/20/2025 12:52:46,Türkiye,Tam zamanlı,Remote,Erkek,0,Junior,SQL,Business Analyst,Kullanmıyorum,Kullanmıyorum,61 - 70
8/20/2025 12:52:46,Türkiye,Tam zamanlı,Office,Erkek,3,Mid,"HTML/CSS, JavaScript, PHP",Fullstack,Vanilla,Kullanmıyorum,61 - 70
8/20/2025 12:53:00,Türkiye,Tam zamanlı,Remote,Erkek,8,Mid,"JavaScript, Go, PHP, SQL",Fullstack,"Vue, Vanilla","FastApi, Redux",111 - 120
8/20/2025 12:53:09,Türkiye,Tam zamanlı,Remote,Erkek,2,Junior,"HTML/CSS, JavaScript, TypeScript",Fullstack,React,Kullanmıyorum,31 - 40
8/20/2025 12:53:12,Türkiye,Tam zamanlı,Remote,Erkek,10,Mid,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Fullstack,"Vue, Vanilla",Firebase,41 - 50
8/20/2025 12:53:47,Türkiye,Tam zamanlı,Remote,Erkek,7,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Angular, Vue",Kullanmıyorum,151 - 160
8/20/2025 12:53:52,Türkiye,Tam zamanlı,Remote,Erkek,8,Senior,C#,Backend,Kullanmıyorum,Kullanmıyorum,111 - 120
8/20/2025 12:53:55,Türkiye,Tam zamanlı,Office,Erkek,1,Junior,"Python, Cobol, Julia, Matlab",ML Engineer,Kullanmıyorum,Kullanmıyorum,61 - 70
8/20/2025 12:53:56,Türkiye,Tam zamanlı,Remote,Erkek,6,Senior,C#,Backend,Kullanmıyorum,Kullanmıyorum,131 - 140
8/20/2025 12:54:04,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Mid,"JavaScript, TypeScript",Frontend,"React, Angular","Strapi, Redux",71 - 80
8/20/2025 12:54:08,Türkiye,Tam zamanlı,Remote,Erkek,6,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Redux,151 - 160
8/20/2025 12:54:10,Türkiye,Tam zamanlı,Remote,Erkek,10,Senior,"HTML/CSS, JavaScript, TypeScript",React Native,React,Jotai,111 - 120
8/20/2025 12:54:10,Türkiye,Tam zamanlı,Hybrid,Erkek,2,Junior,"TypeScript, C#, Dart",Flutter,Kullanmıyorum,Firebase,41 - 50
8/20/2025 12:54:19,Avrupa,Tam zamanlı,Remote,Kadın,20 - 30,Architect,"JavaScript, Java, Go, Kotlin, Swift, Python, Dart, Ruby, Rust, C, Objective C, Cobol, Julia, Bash",Fullstack,"React, Angular, Vue, Vanilla","Strapi, FastApi, Wordpress, Redux, Zustand, Jotai",300 +
8/20/2025 12:54:37,Türkiye,Tam zamanlı,Remote,Erkek,5,Senior,"Java, PHP, Python, SQL",Backend,Kullanmıyorum,Kullanmıyorum,121 - 130
8/20/2025 12:54:52,Türkiye,Tam zamanlı,Office,Erkek,2,Mid,"Python, C++",ML Engineer,Kullanmıyorum,Kullanmıyorum,81 - 90
8/20/2025 12:54:57,Türkiye,Tam zamanlı,Remote,Erkek,2,Junior,"JavaScript, C#, SQL",Backend,Kullanmıyorum,"Supabase, Firebase",51 - 60
8/20/2025 12:55:07,Türkiye,Tam zamanlı,Remote,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript",React Native,React,"Supabase, Firebase",51 - 60
8/20/2025 12:55:09,Avrupa,Tam zamanlı,Remote,Erkek,11 - 15,Architect,"Kotlin, Swift, Objective C",iOS,Kullanmıyorum,"Supabase, Firebase",241 - 250
8/20/2025 12:55:21,Türkiye,Tam zamanlı,Remote,Erkek,1,Junior,Dart,Flutter,Kullanmıyorum,Firebase,41 - 50
8/20/2025 12:55:22,Türkiye,Tam zamanlı,Office,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,React,"Redux, Zustand",141 - 150
8/20/2025 12:55:24,Türkiye,Tam zamanlı,Hybrid,Erkek,1,Junior,"JavaScript, Java, SQL",Backend,React,Kullanmıyorum,41 - 50
8/20/2025 12:55:24,Türkiye,Tam zamanlı,Remote,Erkek,5,Mid,"HTML/CSS, JavaScript, PHP, SQL",Backend,Kullanmıyorum,Kullanmıyorum,51 - 60
8/20/2025 12:55:36,Türkiye,Tam zamanlı,Remote,Erkek,4,Mid,"Python, SQL",Data Engineer,Kullanmıyorum,Kullanmıyorum,91 - 100
8/20/2025 12:55:38,Türkiye,Tam zamanlı,Remote,Kadın,5,Senior,"HTML/CSS, JavaScript",Frontend,Vue,Kullanmıyorum,121 - 130
8/20/2025 12:55:42,Türkiye,Tam zamanlı,Remote,Erkek,5,Mid,Dart,Flutter,Kullanmıyorum,Firebase,71 - 80
8/20/2025 12:55:43,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,React,"Strapi, FastApi, Wordpress, Redux, Zustand, Supabase, Firebase",61 - 70
8/20/2025 12:55:46,Türkiye,Tam zamanlı,Remote,Erkek,1,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Kullanmıyorum,41 - 50
8/20/2025 12:55:46,Türkiye,Tam zamanlı,Office,Erkek,5,Senior,"Java, C++, SQL",Backend,Kullanmıyorum,Kullanmıyorum,101 - 110
8/20/2025 12:55:47,Türkiye,Tam zamanlı,Hybrid,Erkek,1,Junior,"Python, SQL, Bash",ML Engineer,Kullanmıyorum,Kullanmıyorum,61 - 70
8/20/2025 12:55:48,Türkiye,Tam zamanlı,Hybrid,Erkek,8,Senior,"Kotlin, Dart",Flutter,React,Supabase,91 - 100
8/20/2025 12:55:50,Türkiye,Tam zamanlı,Office,Erkek,3,Junior,"HTML/CSS, JavaScript, PHP",Fullstack,Vanilla,Kullanmıyorum,31 - 40
8/20/2025 12:55:52,Türkiye,Tam zamanlı,Remote,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript",React Native,React,"Redux, Firebase",61 - 70
8/20/2025 12:55:55,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Mid,"HTML/CSS, Python, C++",Data Scientist,Kullanmıyorum,Kullanmıyorum,121 - 130
8/20/2025 12:56:11,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,Swift,iOS,Kullanmıyorum,Firebase,101 - 110
8/20/2025 12:56:16,Türkiye,Tam zamanlı,Remote,Erkek,2,Junior,"HTML/CSS, JavaScript, TypeScript, Python",Frontend,React,"FastApi, Wordpress",41 - 50
8/20/2025 12:56:16,Türkiye,Tam zamanlı,Remote,Erkek,5,Mid,"JavaScript, TypeScript",React Native,React,Redux,71 - 80
8/20/2025 12:56:19,Türkiye,Tam zamanlı,Remote,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Vue",Kullanmıyorum,61 - 70
8/20/2025 12:56:22,Avrupa,Tam zamanlı,Hybrid,Erkek,4,Mid,"JavaScript, PHP, Swift, Objective C",iOS,React,Kullanmıyorum,300 +
8/20/2025 12:56:31,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Mid,"Python, C, C++, Bash",Embedded Systems Engineer,Kullanmıyorum,Kullanmıyorum,101 - 110
8/20/2025 12:56:35,Avrupa,Tam zamanlı,Remote,Erkek,6,Senior,"HTML/CSS, JavaScript, TypeScript, SQL, Bash",Fullstack,React,"Zustand, Supabase",251 - 260
8/20/2025 12:56:47,Türkiye,Tam zamanlı,Office,Erkek,4,Mid,"HTML/CSS, JavaScript, PHP, C#, SQL",Fullstack,"React, Vue",Kullanmıyorum,51 - 60
8/20/2025 12:56:56,Türkiye,Tam zamanlı,Remote,Erkek,7,Mid,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Fullstack,React,Zustand,61 - 70
8/20/2025 12:56:59,Türkiye,Tam zamanlı,Office,Erkek,4,Mid,"JavaScript, SQL",Business Analyst,Kullanmıyorum,Kullanmıyorum,81 - 90
8/20/2025 12:57:05,Türkiye,Tam zamanlı,Hybrid,Erkek,2,Junior,"HTML/CSS, JavaScript",Frontend,Vanilla,Kullanmıyorum,41 - 50
8/20/2025 12:57:20,Türkiye,Tam zamanlı,Hybrid,Erkek,3,Mid,"HTML/CSS, JavaScript, TypeScript, Java, Python",Fullstack,React,FastApi,121 - 130
8/20/2025 12:57:24,Türkiye,Tam zamanlı,Hybrid,Erkek,5,Senior,"Python, SQL",Data Engineer,Kullanmıyorum,Kullanmıyorum,141 - 150
8/20/2025 12:57:25,Avrupa,Freelance,Remote,Erkek,11 - 15,Senior,"HTML/CSS, JavaScript, PHP",Fullstack,"Vanilla, Kullanmıyorum","Wordpress, Kullanmıyorum",121 - 130
8/20/2025 12:57:25,Türkiye,Tam zamanlı,Remote,Erkek,4,Mid,Swift,iOS,Kullanmıyorum,Kullanmıyorum,121 - 130
8/20/2025 12:57:29,Yurtdışı TR hub,Tam zamanlı,Remote,Erkek,5,Mid,Java,Backend,Kullanmıyorum,Kullanmıyorum,101 - 110
8/20/2025 12:57:29,Türkiye,Tam zamanlı,Hybrid,Erkek,11 - 15,Architect,"JavaScript, Java, C#, SQL",Backend,Kullanmıyorum,Kullanmıyorum,171 - 180
8/20/2025 12:57:40,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Mid,"HTML/CSS, JavaScript, PHP, SQL",Fullstack,Vanilla,Firebase,41 - 50
8/20/2025 12:58:00,Türkiye,Tam zamanlı,Hybrid,Erkek,2,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Redux,41 - 50
8/20/2025 12:58:13,Türkiye,Tam zamanlı,Office,Erkek,8,Engineering Manager,"TypeScript, Kotlin, Swift, Python, Dart, Objective C",Android,Vue,Firebase,191 - 200
8/20/2025 12:58:21,Türkiye,Tam zamanlı,Remote,Erkek,4,Mid,Kotlin,Android,Kullanmıyorum,Firebase,111 - 120
8/20/2025 12:58:23,Türkiye,Tam zamanlı,Hybrid,Erkek,4,Senior,"HTML/CSS, JavaScript, TypeScript, SQL",Frontend,"React, Vanilla",Redux,61 - 70
